Store,Date,Dept,Weekly_Sales,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Super_Bowl,Labor_Day,Thanksgiving,Christmas,week,month,year
14,2012-08-10,93,56594.74,1,200898,78.65,3.722,32432.09,23.68,32.44,4309.81,3570.81,191.1626135,8.684,0,0,0,0,0,32,08,2012
14,2012-08-17,93,49660.75,1,200898,75.71,3.807,4625.55,62.5,5.84,2100.73,2663.23,191.2284919,8.684,0,0,0,0,0,33,08,2012
14,2012-08-24,93,47638.19,1,200898,72.62,3.834,6647.88,34.56,255.31,6931.8,9414.1,191.3448865,8.684,0,0,0,0,0,34,08,2012
14,2012-08-31,93,48018.67,1,200898,75.09,3.867,24718.73,9.94,120.98,14110.32,3332.99,191.461281,8.684,0,0,0,0,0,35,08,2012
14,2012-09-07,93,61903.71,1,200898,75.7,3.911,6623.84,6.97,34.35,2720.17,5498.39,191.5776756,8.684,1,0,1,0,0,36,09,2012
14,2012-09-14,93,49688.48,1,200898,67.87,3.948,11320.02,0,28.2,855.45,1743.58,191.69985,8.684,0,0,0,0,0,37,09,2012
14,2012-09-21,93,46775.81,1,200898,65.32,4.038,21474.27,98.28,29.88,1924.92,15282.51,191.8567038,8.684,0,0,0,0,0,38,09,2012
14,2012-09-28,93,42750.73,1,200898,64.88,3.997,3816.64,38.19,8.16,2545.14,3536.04,192.0135577,8.684,0,0,0,0,0,39,09,2012
14,2012-10-05,93,53215.31,1,200898,64.89,3.985,9219.05,0,12.04,3592,3300.66,192.1704115,8.667,0,0,0,0,0,40,10,2012
14,2012-10-12,93,48564.4,1,200898,54.47,4.0,3214.56,0,20.28,822.73,7207.7,192.3272654,8.667,0,0,0,0,0,41,10,2012
14,2012-10-19,93,45081.22,1,200898,56.47,3.969,4192.74,0,17.46,1076.25,3839.99,192.3308542,8.667,0,0,0,0,0,42,10,2012
14,2012-10-26,93,46358.21,1,200898,58.85,3.882,9258.41,99.19,117.84,1489.28,1433.31,192.3088989,8.667,0,0,0,0,0,43,10,2012
14,2010-02-05,94,90943.29,1,200898,27.31,2.784,0,0,0,0,0,181.8711898,8.992,0,0,0,0,0,6,02,2010
14,2010-02-12,94,54100.75,1,200898,27.73,2.773,0,0,0,0,0,181.982317,8.992,1,1,0,0,0,7,02,2010
14,2010-02-19,94,84708.63,1,200898,31.27,2.745,0,0,0,0,0,182.0347816,8.992,0,0,0,0,0,8,02,2010
14,2010-02-26,94,72262.37,1,200898,34.89,2.754,0,0,0,0,0,182.0774691,8.992,0,0,0,0,0,9,02,2010
14,2010-03-05,94,74841.45,1,200898,37.13,2.777,0,0,0,0,0,182.1201566,8.992,0,0,0,0,0,10,03,2010
14,2010-03-12,94,76764.56,1,200898,45.8,2.818,0,0,0,0,0,182.1628441,8.992,0,0,0,0,0,11,03,2010
14,2010-03-19,94,70654.05,1,200898,48.79,2.844,0,0,0,0,0,182.0779857,8.992,0,0,0,0,0,12,03,2010
14,2010-03-26,94,68366.25,1,200898,54.36,2.854,0,0,0,0,0,181.9718697,8.992,0,0,0,0,0,13,03,2010
14,2010-04-02,94,79677.1,1,200898,47.74,2.85,0,0,0,0,0,181.8657537,8.899,0,0,0,0,0,14,04,2010
14,2010-04-09,94,77756.94,1,200898,65.45,2.869,0,0,0,0,0,181.7596377,8.899,0,0,0,0,0,15,04,2010
14,2010-04-16,94,73746.54,1,200898,54.28,2.899,0,0,0,0,0,181.6924769,8.899,0,0,0,0,0,16,04,2010
14,2010-04-23,94,75639.73,1,200898,53.47,2.902,0,0,0,0,0,181.6772564,8.899,0,0,0,0,0,17,04,2010
14,2010-04-30,94,72689.94,1,200898,53.15,2.921,0,0,0,0,0,181.6620359,8.899,0,0,0,0,0,18,04,2010
14,2010-05-07,94,83399.49,1,200898,70.75,2.966,0,0,0,0,0,181.6468154,8.899,0,0,0,0,0,19,05,2010
14,2010-05-14,94,90320.31,1,200898,54.26,2.982,0,0,0,0,0,181.6612792,8.899,0,0,0,0,0,20,05,2010
14,2010-05-21,94,81677.85,1,200898,62.62,2.958,0,0,0,0,0,181.8538486,8.899,0,0,0,0,0,21,05,2010
14,2010-05-28,94,82565.54,1,200898,69.27,2.899,0,0,0,0,0,182.0464181,8.899,0,0,0,0,0,22,05,2010
14,2010-06-04,94,88259.5,1,200898,75.93,2.847,0,0,0,0,0,182.2389876,8.899,0,0,0,0,0,23,06,2010
14,2010-06-11,94,82088.28,1,200898,69.71,2.809,0,0,0,0,0,182.4315571,8.899,0,0,0,0,0,24,06,2010
14,2010-06-18,94,83849.06,1,200898,72.62,2.78,0,0,0,0,0,182.4424199,8.899,0,0,0,0,0,25,06,2010
14,2010-06-25,94,79864.83,1,200898,79.32,2.808,0,0,0,0,0,182.3806,8.899,0,0,0,0,0,26,06,2010
14,2010-07-02,94,83616.71,1,200898,76.61,2.815,0,0,0,0,0,182.3187801,8.743,0,0,0,0,0,27,07,2010
14,2010-07-09,94,83809.44,1,200898,82.45,2.793,0,0,0,0,0,182.2569603,8.743,0,0,0,0,0,28,07,2010
14,2010-07-16,94,77126.37,1,200898,77.84,2.783,0,0,0,0,0,182.2604411,8.743,0,0,0,0,0,29,07,2010
14,2010-07-23,94,77308.14,1,200898,81.46,2.771,0,0,0,0,0,182.3509895,8.743,0,0,0,0,0,30,07,2010
14,2010-07-30,94,75619.69,1,200898,79.78,2.781,0,0,0,0,0,182.4415378,8.743,0,0,0,0,0,31,07,2010
14,2010-08-06,94,76062.27,1,200898,77.17,2.784,0,0,0,0,0,182.5320862,8.743,0,0,0,0,0,32,08,2010
14,2010-08-13,94,72932.9,1,200898,78.44,2.805,0,0,0,0,0,182.6226346,8.743,0,0,0,0,0,33,08,2010
14,2010-08-20,94,70232.93,1,200898,76.01,2.779,0,0,0,0,0,182.6165205,8.743,0,0,0,0,0,34,08,2010
14,2010-08-27,94,66562.91,1,200898,71.36,2.755,0,0,0,0,0,182.6104063,8.743,0,0,0,0,0,35,08,2010
14,2010-09-03,94,67985.36,1,200898,78.37,2.715,0,0,0,0,0,182.6042922,8.743,0,0,0,0,0,36,09,2010
14,2010-09-10,94,69399.09,1,200898,70.87,2.699,0,0,0,0,0,182.598178,8.743,1,0,1,0,0,37,09,2010
14,2010-09-17,94,61387.56,1,200898,66.55,2.706,0,0,0,0,0,182.622509,8.743,0,0,0,0,0,38,09,2010
14,2010-09-24,94,62880.5,1,200898,68.59,2.713,0,0,0,0,0,182.6696737,8.743,0,0,0,0,0,39,09,2010
14,2010-10-01,94,59027.13,1,200898,70.58,2.707,0,0,0,0,0,182.7168385,8.724,0,0,0,0,0,40,10,2010
14,2010-10-08,94,64428.07,1,200898,56.49,2.764,0,0,0,0,0,182.7640032,8.724,0,0,0,0,0,41,10,2010
14,2010-10-15,94,60188.45,1,200898,58.61,2.868,0,0,0,0,0,182.8106203,8.724,0,0,0,0,0,42,10,2010
14,2010-10-22,94,60998.99,1,200898,53.15,2.917,0,0,0,0,0,182.8558685,8.724,0,0,0,0,0,43,10,2010
14,2010-10-29,94,63693.68,1,200898,61.3,2.921,0,0,0,0,0,182.9011166,8.724,0,0,0,0,0,44,10,2010
14,2010-11-05,94,60655.42,1,200898,45.65,2.917,0,0,0,0,0,182.9463648,8.724,0,0,0,0,0,45,11,2010
14,2010-11-12,94,58286.5,1,200898,46.14,2.931,0,0,0,0,0,182.9916129,8.724,0,0,0,0,0,46,11,2010
14,2010-11-19,94,58498.47,1,200898,50.02,3.0,0,0,0,0,0,182.8989385,8.724,0,0,0,0,0,47,11,2010
14,2010-11-26,94,72604.77,1,200898,46.15,3.039,0,0,0,0,0,182.7832769,8.724,1,0,0,1,0,48,11,2010
14,2010-12-03,94,48675.37,1,200898,40.93,3.046,0,0,0,0,0,182.6676154,8.724,0,0,0,0,0,49,12,2010
14,2010-12-10,94,56424.02,1,200898,30.54,3.109,0,0,0,0,0,182.5519538,8.724,0,0,0,0,0,50,12,2010
14,2010-12-17,94,52368.12,1,200898,30.51,3.14,0,0,0,0,0,182.517732,8.724,0,0,0,0,0,51,12,2010
14,2010-12-24,94,72942.92,1,200898,30.59,3.141,0,0,0,0,0,182.54459,8.724,0,0,0,0,0,52,12,2010
14,2010-12-31,94,42527.83,1,200898,29.67,3.179,0,0,0,0,0,182.5714479,8.724,1,0,0,0,1,1,12,2010
14,2011-01-07,94,61972.74,1,200898,34.32,3.193,0,0,0,0,0,182.5983058,8.549,0,0,0,0,0,2,01,2011
14,2011-01-14,94,61959.54,1,200898,24.78,3.205,0,0,0,0,0,182.6585782,8.549,0,0,0,0,0,3,01,2011
14,2011-01-21,94,61464.45,1,200898,30.55,3.229,0,0,0,0,0,182.9193368,8.549,0,0,0,0,0,4,01,2011
14,2011-01-28,94,58238.02,1,200898,24.05,3.237,0,0,0,0,0,183.1800955,8.549,0,0,0,0,0,5,01,2011
14,2011-02-04,94,69614.71,1,200898,28.73,3.231,0,0,0,0,0,183.4408542,8.549,0,0,0,0,0,6,02,2011
14,2011-02-11,94,66321.09,1,200898,30.3,3.239,0,0,0,0,0,183.7016129,8.549,1,1,0,0,0,7,02,2011
14,2011-02-18,94,82269.95,1,200898,40.7,3.245,0,0,0,0,0,183.9371353,8.549,0,0,0,0,0,8,02,2011
14,2011-02-25,94,67747.34,1,200898,35.78,3.274,0,0,0,0,0,184.1625632,8.549,0,0,0,0,0,9,02,2011
14,2011-03-04,94,70606.81,1,200898,38.65,3.433,0,0,0,0,0,184.3879911,8.549,0,0,0,0,0,10,03,2011
14,2011-03-11,94,69153.42,1,200898,45.01,3.582,0,0,0,0,0,184.613419,8.549,0,0,0,0,0,11,03,2011
14,2011-03-18,94,69897.47,1,200898,46.66,3.631,0,0,0,0,0,184.809719,8.549,0,0,0,0,0,12,03,2011
14,2011-03-25,94,68287.15,1,200898,41.76,3.625,0,0,0,0,0,184.9943679,8.549,0,0,0,0,0,13,03,2011
14,2011-04-01,94,63140.34,1,200898,37.27,3.638,0,0,0,0,0,185.1790167,8.521,0,0,0,0,0,14,04,2011
14,2011-04-08,94,69088.09,1,200898,48.71,3.72,0,0,0,0,0,185.3636656,8.521,0,0,0,0,0,15,04,2011
14,2011-04-15,94,66175.79,1,200898,53.69,3.821,0,0,0,0,0,185.5339821,8.521,0,0,0,0,0,16,04,2011
14,2011-04-22,94,73792.19,1,200898,53.04,3.892,0,0,0,0,0,185.6684673,8.521,0,0,0,0,0,17,04,2011
14,2011-04-29,94,64330.87,1,200898,66.18,3.962,0,0,0,0,0,185.8029526,8.521,0,0,0,0,0,18,04,2011
14,2011-05-06,94,76218.9,1,200898,58.21,4.046,0,0,0,0,0,185.9374378,8.521,0,0,0,0,0,19,05,2011
14,2011-05-13,94,83735.66,1,200898,60.38,4.066,0,0,0,0,0,186.0719231,8.521,0,0,0,0,0,20,05,2011
14,2011-05-20,94,71407.95,1,200898,62.28,4.062,0,0,0,0,0,185.9661154,8.521,0,0,0,0,0,21,05,2011
14,2011-05-27,94,70791.81,1,200898,69.7,3.985,0,0,0,0,0,185.8603077,8.521,0,0,0,0,0,22,05,2011
14,2011-06-03,94,75181.83,1,200898,76.38,3.922,0,0,0,0,0,185.7545,8.521,0,0,0,0,0,23,06,2011
14,2011-06-10,94,73930.95,1,200898,73.88,3.881,0,0,0,0,0,185.6486923,8.521,0,0,0,0,0,24,06,2011
14,2011-06-17,94,71479.2,1,200898,69.32,3.842,0,0,0,0,0,185.6719333,8.521,0,0,0,0,0,25,06,2011
14,2011-06-24,94,67211.88,1,200898,74.85,3.804,0,0,0,0,0,185.7919609,8.521,0,0,0,0,0,26,06,2011
14,2011-07-01,94,67486.18,1,200898,74.04,3.748,0,0,0,0,0,185.9119885,8.625,0,0,0,0,0,27,07,2011
14,2011-07-08,94,68995.7,1,200898,77.49,3.711,0,0,0,0,0,186.032016,8.625,0,0,0,0,0,28,07,2011
14,2011-07-15,94,65089.66,1,200898,78.47,3.76,0,0,0,0,0,186.1399808,8.625,0,0,0,0,0,29,07,2011
14,2011-07-22,94,62254.55,1,200898,82.33,3.811,0,0,0,0,0,186.2177885,8.625,0,0,0,0,0,30,07,2011
14,2011-07-29,94,62916.15,1,200898,81.31,3.829,0,0,0,0,0,186.2955962,8.625,0,0,0,0,0,31,07,2011
14,2011-08-05,94,67997.67,1,200898,78.22,3.842,0,0,0,0,0,186.3734038,8.625,0,0,0,0,0,32,08,2011
14,2011-08-12,94,67379.77,1,200898,77.0,3.812,0,0,0,0,0,186.4512115,8.625,0,0,0,0,0,33,08,2011
14,2011-08-19,94,62486.68,1,200898,72.98,3.747,0,0,0,0,0,186.5093071,8.625,0,0,0,0,0,34,08,2011
14,2011-08-26,94,75956.14,1,200898,72.55,3.704,0,0,0,0,0,186.5641172,8.625,0,0,0,0,0,35,08,2011
14,2011-09-02,94,54028.82,1,200898,70.63,3.703,0,0,0,0,0,186.6189274,8.625,0,0,0,0,0,36,09,2011
14,2011-09-09,94,70819.69,1,200898,71.48,3.738,0,0,0,0,0,186.6737376,8.625,1,0,1,0,0,37,09,2011
14,2011-09-16,94,58893.44,1,200898,69.17,3.742,0,0,0,0,0,186.8024,8.625,0,0,0,0,0,38,09,2011
14,2011-09-23,94,59543.27,1,200898,63.75,3.711,0,0,0,0,0,187.0295321,8.625,0,0,0,0,0,39,09,2011
14,2011-09-30,94,55655.34,1,200898,70.66,3.645,0,0,0,0,0,187.2566641,8.625,0,0,0,0,0,40,09,2011
14,2011-10-07,94,62357.04,1,200898,55.82,3.583,0,0,0,0,0,187.4837962,8.523,0,0,0,0,0,41,10,2011
14,2011-10-14,94,56073.95,1,200898,63.82,3.541,0,0,0,0,0,187.6917481,8.523,0,0,0,0,0,42,10,2011
14,2011-10-21,94,56881.38,1,200898,59.6,3.57,0,0,0,0,0,187.7846197,8.523,0,0,0,0,0,43,10,2011
14,2011-10-28,94,57859.39,1,200898,51.78,3.569,0,0,0,0,0,187.8774913,8.523,0,0,0,0,0,44,10,2011
